,Name,Model_Projection_Sum_of_W_SV_HLD,Actual_Sum_of_W_SV_HLD,ADP
6599,Yoshihisa Hirano,-1.1624936350526627,5,
6600,Sean Doolittle,-1.1863602682851233,14,
6601,Garrett Cleavinger,-1.1903587957627855,3,
6602,Luis Perdomo,-1.1944706283832518,0,
6603,Huascar Ynoa,-1.1944706283832518,0,685.5
6604,Zac Lowther,-1.2016697988117462,0,
6605,Spencer Patton,-1.2139206090518673,16,
6606,Luis Frias,-1.2239574567133376,5,
6607,Stephen Nogosek,-1.2261046562040512,1,
6608,Kwang-hyun Kim,-1.2613285236998804,3,
6609,Kodi Whitley,-1.2623544723325242,7,
6610,Jonathan Holder,-1.2768745816079805,3,
6611,Travis Bergen,-1.2889227643084677,4,
6612,Tanner Banks,-1.289501344346882,3,
6613,Packy Naughton,-1.296582502627228,4,
6614,Scott Alexander,-1.2998708486766375,14,
6615,Hyeon-jong Yang,-1.318287852562287,0,
6616,Chris Flexen,-1.3292880982494573,3,550.5
6617,Drew Rasmussen,-1.3308200898502542,4,169.4
6618,Alec Mills,-1.3442084884534633,3,
6619,Yerry De Los Santos,-1.3459640212767494,5,
6620,Peter Strzelecki,-1.3588108277172741,7,
6621,Blake Parker,-1.4113290207051385,10,
6622,Francisco Perez,-1.4266610178744352,0,
6623,Tyler Danish,-1.4314785725679158,6,
6624,Shaun Anderson,-1.4379003632055685,2,
6625,Eric Hanhold,-1.4436982193482881,0,
6658,Robbie Erlin,-1.473011596565984,0,
6659,Ian Krol,-1.4792959485876584,0,
6756,Tyler Wells,-1.538262046774206,7,491.0
6757,Jakob Junis,-1.5399248091258622,4,564.0
6758,Sammy Long,-1.5495224919130257,2,
6759,Demarcus Evans,-1.5639222030552113,2,
6760,Reiss Knehr,-1.5797184512249165,1,
6761,Elieser Hernandez,-1.5799545561586317,1,561.5
6858,Bennett Sousa,-1.58254702486577,9,
6859,Matt Peacock,-1.6171270395290442,4,
6956,Kolby Allard,-1.6288087977517403,4,
6957,Sean Newcomb,-1.6296566817591385,9,
6990,Beau Burrows,-1.6356933110515663,0,
6991,Hunter Harvey,-1.6469385703757562,14,648.5
6992,Pedro Baez,-1.6512257738164158,8,
6993,Jake Bird,-1.667124152603929,7,
7026,Kyle Cody,-1.6886498472798317,0,
7027,Cole Sands,-1.7013956446506928,1,
7124,Jesus Luzardo,-1.7210794722616238,2,139.2
7125,Ryan Meisinger,-1.7315067203797783,0,
7126,Eric Stout,-1.7316698383742268,2,
7191,Anthony Castro,-1.7669769453646047,3,
7192,Stephen Tarpley,-1.7821767861181772,5,
7193,Nik Turley,-1.8345151282377465,4,
7290,Chase Anderson,-1.8556393922990913,1,
7291,Kyle Crick,-1.8655510993777542,12,
7292,Jesse Biddle,-1.8687059507835693,0,
7293,Jairo Diaz,-1.8887222859139687,8,
7294,Cody Reed,-1.9075158868062514,3,
7295,Dillon Maples,-1.9162304322124213,1,
7296,Justin Grimm,-1.9168031081220722,3,
7425,Logan Gillaspie,-1.9334223004792894,1,
7426,Jordan Sheffield,-1.9524561107857832,4,
7427,Ronny Henriquez,-1.9545141374584596,0,
7524,Jake Newberry,-1.9666197130690095,3,
7557,T.J. McFarland,-1.9763823360249193,28,
7558,Nick Goody,-1.9835687278903629,1,
7559,Rony Garcia,-1.98469789511092,1,"1,023.0"
7624,Luke Farrell,-2.0021217123033406,2,
7625,Logan Allen,-2.0364789252582813,2,
7722,Miguel Sanchez,-2.0458003872336734,5,
7723,Cameron Hill,-2.0513644824314277,5,
7724,JoJo Romero,-2.0600133981085307,7,
7725,Tyler Zuber,-2.0763640166175676,5,
7790,Oliver Perez,-2.0953803752081575,6,
7791,Andre Pallante,-2.1200517536096255,12,785.0
7792,A.J. Alexy,-2.129176005640618,1,
7793,Jordan Weems,-2.130015265119134,0,
7794,Marcos Diplan,-2.1333138733164176,3,
7923,Drew Carlton,-2.1672057687886532,0,
7924,Dylan Lee,-2.1740112546721697,14,
7925,Daniel Ponce de Leon,-2.1765385527056256,2,
7926,Nick Vincent,-2.1885685656093465,5,
8151,Mike Wright Jr.,-2.229147425634739,0,
8312,Sal Romano,-2.251750197681137,2,
8345,Brett de Geus,-2.2667155443277576,6,
8346,Martin Perez,-2.2725397585897635,1,288.4
8347,Seth Martinez,-2.2737638198509136,3,
8508,Colin Holderman,-2.2973531929099624,7,
8605,Julian Merryweather,-2.2987702573359687,5,
8606,Jesse Hahn,-2.3162595252792464,11,
8703,Drew VerHagen,-2.3438477917616507,5,
8704,Rex Brothers,-2.3473701120962596,12,
8705,Zack Britton,-2.3495267919695064,26,
8802,Ryan Sherriff,-2.3769744257979926,5,
8867,Tayler Scott,-2.3950294216491423,0,
8868,Thomas Hatch,-2.4092883962777094,6,
8869,Tyler Chatwood,-2.4150277228399872,12,
8966,Ben Rowen,-2.4204015612494105,0,
9063,Darren O'Day,-2.470535003243378,17,
9064,Anthony Kay,-2.482330481966143,4,
9289,Justin Lawrence,-2.5659537197542663,14,
9482,Michael Wacha,-2.591138644114669,1,352.2
9579,Kutter Crawford,-2.6383426389119817,2,612.5
9676,Austin Warren,-2.657867109596997,8,
9677,Rico Garcia,-2.658361786498255,3,
9678,Chad Smith,-2.662855586686862,0,
9679,Michael Feliz,-2.6764170893618764,1,
9712,Johan Oviedo,-2.677631325480008,2,564.0
9873,Shawn Morimando,-2.705513360924853,0,
10002,Jake Reed,-2.709059041638259,3,
10003,Antonio Santos,-2.709322265685535,0,
10004,Kyle Nelson,-2.7180144987840213,13,845.5
10101,Angel Perdomo,-2.74285455044638,1,
10134,Colten Brewer,-2.75288088486623,0,
10295,John Gant,-2.7774122486718964,7,
10328,Yennsy Diaz,-2.7879461790888103,0,
10329,Beau Sulser,-2.832389145533626,0,
10330,Dinelson Lamet,-2.8474413764542623,7,640.5
10331,Justin Steele,-2.8477646410628923,3,305.8
10332,Elvis Peguero,-2.852432365010565,0,
