,Name,Model_Projection_Sum_of_ERA_WHIP,Actual_Sum_of_ERA_WHIP,ADP
4867,Camilo Doval,4.364244019323924,3.84,105.2
4674,Joe Barlow,4.3821284341665745,3.81,449.8
4577,Kyle Finnegan,4.384555586955531,4.75,358.8
4576,Lucas Luetge,4.386255678760137,3.93,
4575,Michael Kopech,4.3874831096823215,5.13,273.2
4574,Andrew Wantz,4.387748760283679,5.07,
4573,Phoenix Sanders,4.388585886319937,4.09,
4572,Tyler Kinley,4.39027626317106,5.2,
4571,Adam Kolarek,4.392332971531384,5.12,
4570,Jose Ruiz,4.393029816684608,5.01,
4569,Zack Weiss,4.39588391036672,4.43,
4568,Tyler Wells,4.397955115966393,5.0200000000000005,491.0
4567,Mason Thompson,4.403329244547824,4.99,
4566,Cole Sands,4.414184264552575,4.6899999999999995,
4565,Yency Almonte,4.4196643457307605,5.529999999999999,750.5
4564,Steve Cishek,4.420107098129283,5.3999999999999995,
4563,Trevor Williams,4.420739942899708,4.37,713.0
4562,Matt Strahm,4.423388815163193,5.02,824.5
4561,Freddy Peralta,4.4237849431128335,5.17,144.0
4560,Tyler Alexander,4.429337396855846,4.529999999999999,
4559,Tyler Thornburg,4.429534573761451,4.92,
4558,Noe Ramirez,4.430182674639067,5.25,
4557,Jake Woodford,4.433737343243868,4.75,
4556,Tarik Skubal,4.437315706426255,4.6,386.6
4555,Sam Moll,4.438025818878236,4.29,
4554,Jalen Beeks,4.438687130445514,4.08,784.5
4553,Luis Cessa,4.440455387007748,4.6,
4552,Hirokazu Sawamura,4.444913938708626,4.83,
4551,Domingo Tapia,4.446419524508704,5.97,
4550,Jake McGee,4.446606119784279,5.0600000000000005,711.0
4549,Huascar Brazoban,4.448045175264489,4.56,
4548,Mitch White,4.448222646610299,4.72,828.5
4547,Richard Lovelady,4.450168918935845,4.8500000000000005,
4546,David Robertson,4.452899707251805,3.95,368.8
4545,Ljay Newsome,4.453784349106681,4.54,
4544,Gabe Speier,4.454030664183267,4.66,
4543,Kyle McGowin,4.457264496138215,5.59,
4542,Drew Carlton,4.459183676271438,4.06,
4541,Matt Barnes,4.459641090329151,5.3500000000000005,483.3
4540,Marcos Diplan,4.460703547026391,5.33,
4539,Nestor Cortes,4.461104859615245,4.89,
4538,J.B. Wendelken,4.461413999922196,5.32,
4537,Manny Banuelos,4.462331557360916,5.68,
4536,Brent Suter,4.463929337962958,4.65,906.5
4535,Connor Brogdon,4.4680089989845655,4.6,
4534,Blake Parker,4.474960176581538,4.470000000000001,
4533,Kyle Zimmer,4.475935171819436,5.29,
4532,Grant Dayton,4.481125177630904,4.91,
4531,Yusmeiro Petit,4.484415403326909,4.48,
4530,Anthony Gose,4.487025265894953,5.09,
4529,Edgar Santana,4.489486674966311,4.74,
4528,Chris Stratton,4.494532294239339,5.3,
4527,Craig Stammen,4.498003313211497,4.57,
4526,Bruce Zimmermann,4.503240681794475,4.8,
4525,Trevor May,4.508536764574481,5.25,395.2
4524,Jordan Hicks,4.5128655087858025,5.819999999999999,570.0
4523,Keegan Akin,4.517428367229068,4.78,760.0
4522,Paul Fry,4.518508153633255,6.63,
4521,Ronald Bolanos,4.5185710076706025,5.1899999999999995,
4520,Brad Hand,4.52042941252967,4.42,869.5
4519,Zack Britton,4.524555086553565,5.53,
4518,Andres Machado,4.5245958604963095,4.74,
4517,Griffin Jax,4.525392910099559,5.14,664.5
4516,Ryan Burr,4.526348812046875,4.699999999999999,
4515,David Price,4.527331681594643,4.65,
4514,Justin Bruihl,4.528958984922367,4.79,
4513,Ryan Thompson,4.543098282294679,4.76,
4512,Brandon Brennan,4.546844820259192,4.26,
4511,Rafael Dolis,4.559991567706699,5.4,
4510,Cam Bedrosian,4.561073204112533,5.7700000000000005,
4509,Zack Kelly,4.561590046114784,5.2700000000000005,
4508,Jimmie Sherfy,4.5702089759751745,5.2700000000000005,
4507,Jimmy Lambert,4.573600094551681,4.92,
4506,Jose Cuas,4.577422146085788,5.25,
4505,Riley Smith,4.577899232077015,5.13,
4504,Max Castillo,4.5813218088219525,5.1,958.0
4503,Andrew Bellatti,4.58144936803822,5.01,
4502,Jandel Gustave,4.582001018777668,4.9,
4501,Erik Swanson,4.5831592665316485,4.96,448.4
4500,Alex Lange,4.5831592665316485,4.96,267.0
4499,Joe Mantiply,4.5846970311909985,4.66,592.5
4498,Cody Poteet,4.58485239593013,4.33,
4497,Kwang-hyun Kim,4.587094452179569,3.9000000000000004,
4496,Chasen Shreve,4.593557446169569,5.449999999999999,
4495,Cody Stashak,4.5947505226421335,5.789999999999999,
4494,Phil Bickford,4.598411560377162,5.24,
4493,Brooks Raley,4.602630825772424,4.95,607.0
4492,Erich Uelmen,4.603783570406605,6.04,
4491,Jesse Chavez,4.606808050211745,4.970000000000001,
4490,Evan Marshall,4.607159865383157,5.359999999999999,
4489,Ryan Yarbrough,4.608589845316297,5.21,709.5
4488,Chris Rodriguez,4.624965386502596,5.13,
4487,Jose Alvarado,4.6349035017637705,5.33,448.6
4486,Carlos Hernandez,4.6385752841682155,5.7299999999999995,906.0
4485,Enoli Paredes,4.6395071128868075,5.72,
4484,Joely Rodriguez,4.642970728458534,5.67,
4483,Matt Bush,4.644608462351531,4.58,628.5
4482,Joey Gerber,4.64579272337259,5.17,
4481,Will Vest,4.646420704314344,6.06,
4480,Jharel Cotton,4.648381739191452,4.86,
4479,Mike Mayers,4.651062760288621,5.15,
4478,Garrett Hill,4.65114810756226,5.04,
4477,Zack Littell,4.654546031872702,5.13,
4476,Walker Lockett,4.6571514714335045,5.03,
4475,James Hoyt,4.6572598348109855,4.7700000000000005,
4474,Cole Sulser,4.663869115999278,5.3100000000000005,
4473,Brett Martin,4.667544213360089,4.720000000000001,
4472,Colin Poche,4.669841966328912,5.15,843.0
4471,Trevor Richards,4.6709244338985165,5.9799999999999995,
4470,Daniel Mengden,4.673488757476521,3.63,
4469,Jeffrey Springs,4.680841196949187,5.17,161.2
4468,Tyler Clippard,4.687772547802195,4.6,
4467,Kyle Funkhouser,4.692090463860804,6.0,
4466,Stephen Nogosek,4.6964261807844405,4.08,
4463,Oliver Perez,4.7014268026782,5.18,
4462,Lou Trivino,4.703025336397001,5.13,534.8
4461,Tanner Scott,4.709771478832953,5.7,558.5
4460,Jeff Brigham,4.710635326250094,4.96,
4459,Miguel Castro,4.710868424248169,5.17,
4458,Hunter Strickland,4.711425698673212,5.26,
4457,Tommy Hunter,4.711425698673212,5.26,
4456,Nick Neidert,4.714836912050888,4.87,
4455,Jacob Webb,4.717639150006044,4.6899999999999995,
4454,Robert Stock,4.720122285174616,6.680000000000001,
4453,Enyel De Los Santos,4.720381786361892,5.69,
4452,Tanner Rainey,4.721909821520613,6.04,
4451,Burch Smith,4.726614130418402,5.949999999999999,
4450,Dominic Leone,4.729635985118527,4.62,
4449,Patrick Sandoval,4.734826585199721,5.47,204.2
4448,Greg Holland,4.739473500813015,5.289999999999999,
4447,Joey Krehbiel,4.7472936145297355,5.18,
4446,Eric Yardley,4.747764905534199,5.359999999999999,
4445,Jose Quintana,4.75067833411403,5.58,333.8
4444,Matthew Festa,4.752531457236665,5.3,
4443,Pedro Baez,4.765549985703948,4.9799999999999995,
4442,Colin Rea,4.768967963217613,5.1899999999999995,
4441,Logan Gillaspie,4.786369525387569,4.45,
4440,Nik Turley,4.788729952140271,6.090000000000001,
4439,John Brebbia,4.795369789658214,5.6,
4438,Joe Jimenez,4.796507776043402,6.35,550.3
4437,Kirk McCarty,4.8019831647666615,4.57,
4436,Conner Menez,4.805483584012649,4.52,
4435,Sam Selman,4.809086319650943,6.08,
4434,Zach Thompson,4.814083937996827,5.930000000000001,999.5
4433,Dennis Santana,4.816794397464486,6.22,
4432,Albert Abreu,4.81858502294254,5.88,
4431,Dauri Moreta,4.818589906006802,5.85,
4430,Sean Reid-Foley,4.8207718441000385,6.03,
4429,Steven Matz,4.823821224424076,5.22,362.7
4428,Justin Wilson,4.824424525045856,5.91,
4427,Tyler Beede,4.824763174773229,5.68,
4426,Stefan Crichton,4.838123819388185,6.28,
4425,Drew Rasmussen,4.839650690863045,6.1,169.4
4424,Huascar Ynoa,4.841035466252351,5.68,685.5
4423,Luis Perdomo,4.841035466252351,5.68,
4422,Jakob Junis,4.842236785510217,5.4,564.0
4421,Joakim Soria,4.843441806812607,5.54,
4420,Erick Fedde,4.844998590790198,6.17,984.0
4419,Nabil Crismatt,4.846192528802029,4.7,
4418,Jake Brentz,4.847447288904995,6.680000000000001,
4417,Devin Smeltzer,4.8517021154307285,5.41,
4416,Miguel Sanchez,4.862767922736323,5.67,
4415,Josh Taylor,4.868565258859723,5.7,
4414,Patrick Murphy,4.870853036757681,6.3999999999999995,
4413,Austin Gomber,4.871403296106712,5.880000000000001,
4412,Aaron Sanchez,4.873142863809209,5.53,
4411,Ralph Garza,4.878314029455823,4.85,
4410,Wil Crowe,4.879361684145592,5.89,852.0
4409,Dan Winkler,4.880108318545694,5.95,
4408,Amir Garrett,4.892461275765922,6.38,690.5
4407,Garrett Richards,4.895594755018692,5.59,
4406,Buck Farmer,4.902026464640447,6.11,990.0
4405,Luke Jackson,4.902957450910295,4.8,
4404,Hanser Alberto,4.905140738745799,5.12,716.0
4403,Jake Fishman,4.908231997307567,5.27,
4402,Ervin Santana,4.90904424594636,5.9,
4401,Matt Foster,4.923572371217981,5.85,
4400,Sam Howard,4.926169170651165,6.7,
4399,Logan Allen,4.9289737082204805,5.140000000000001,
4398,Keynan Middleton,4.929971738214308,5.78,
4397,Sean Poppen,4.933691652578656,6.290000000000001,
4396,Geoff Hartlieb,4.934120713322748,7.53,
4395,Dillon Peters,4.939185316548539,5.83,
4394,Vince Velasquez,4.940383357701433,5.93,578.0
4393,Andrew Miller,4.958754951002032,5.67,
4392,Justus Sheffield,4.959585436012536,6.98,
4391,Derek Holland,4.962945205118354,6.15,
4390,Taylor Rogers,4.963265814642966,5.41,298.4
4389,Carlos Estevez,4.97745198660893,5.95,315.4
4388,Garrett Cleavinger,4.980001838051222,5.06,
4387,Art Warren,4.983167375016662,5.95,
4386,Hoby Milner,4.986350196493675,5.98,
4385,Bryan Shaw,4.9891644563368445,6.24,
4384,Shane Greene,4.989235743919863,6.16,
4383,Ian Gibaut,4.995133626754011,6.3100000000000005,
4382,Cody Reed,4.998748507840973,5.67,
4381,Matt Andriese,5.001512488514139,5.890000000000001,
4380,Taylor Clarke,5.002231599864417,5.609999999999999,
4379,Nick Nelson,5.002387195125576,6.66,
4378,Eric Lauer,5.003085020569351,6.3100000000000005,347.4
4377,Josh Rogers,5.005373946845794,6.41,
4376,Sean Doolittle,5.007790880049985,5.699999999999999,
4375,Junior Guerra,5.011628122262438,6.6,
4374,Nick Wittgren,5.012758691869768,6.05,
4373,J.D. Hammer,5.016378216179296,6.550000000000001,
4372,Jose Urena,5.016668129897984,6.12,
4371,Josh James,5.018408808533467,6.92,
4370,Deolis Guerra,5.021315665765703,5.72,
4369,Daniel Ponce de Leon,5.032817924091536,6.4,
4368,Michael Lorenzen,5.039941669654301,6.7299999999999995,417.3
4367,Emilio Pagan,5.043412472149393,5.84,821.0
4366,Seth Elledge,5.046885878782016,6.3,
4365,Kyle Nelson,5.061469847873153,5.79,845.5
4364,Adrian Morejon,5.06265567776344,5.529999999999999,570.5
4363,Josh Sborz,5.063458116167957,6.01,
4362,Cameron Hill,5.06446671287054,5.78,
4361,Josh Fleming,5.0663951965963,5.25,
4360,Brandon Bielak,5.069348120076143,5.96,
4359,Ryan Borucki,5.074885729396358,6.0,
