Name,Model_Projection_Sum_of_W_SV_HLD,Actual_Sum_of_W_SV_HLD,ADP_x,Scaled_WSVHLD_Rank,Model_Projection_Sum_of_ERA_WHIP,Actual_Sum_of_ERA_WHIP,ADP_y,Rank,Scaled_ERAWHIP_Rank,Scaled_OVR_Score,OVR_Rank
Erik Swanson,7.249650334,27,448.4,0.387501798,3.939260258,4.38,448.4,0.808522336,0.808522336,59.8012067,111
Trevor Richards,11.54235673,25,,0.501198813,4.670924434,5.98,,0.694540165,0.694540165,59.78694892,112
Richard Bleier,9.022204585,40,,0.434449832,4.247313405,4.21,,0.760532333,0.760532333,59.74910824,113
Adam Cimber,6.308169831,45,577,0.362565658,3.794210049,3.75,577,0.831118957,0.831118957,59.68423077,114
Bryan Abreu,7.950160795,25,459.5,0.406055582,4.07476951,4.66,459.5,0.787412052,0.787412052,59.6733817,115
Dillon Tate,8.044642008,38,597.7,0.40855802,4.09101932,4.73,597.7,0.784880578,0.784880578,59.67192992,116
JT Chargois,5.139176366,26,,0.33160359,3.629145944,3.28,,0.856833439,0.856833439,59.42185145,117
Jhoan Duran,4.190629299,28,154.8,0.306480285,3.476489493,2.84,154.8,0.880614996,0.880614996,59.3547641,118
Jose Leclerc,6.929298737,12,208.8,0.379016936,3.945187161,4.07,208.8,0.807599015,0.807599015,59.33079753,119
Matt Gage,3.216649179,0,,0.280683359,3.340350641,2.3,,0.901823363,0.901823363,59.12533607,120
Steve Cishek,9.537127132,29,,0.448088118,4.420107098,5.4,,0.733613698,0.733613698,59.08509082,121
Anthony Bender,5.627824848,28,,0.344545979,3.775039724,4.07,,0.834105403,0.834105403,58.93256907,122
Dominic Leone,11.11796195,42,,0.489958254,4.729635985,4.62,,0.685393797,0.685393797,58.76760254,123
Tommy Kahnle,3.910495025,3,696.5,0.299060623,3.519619708,3.36,696.5,0.873895964,0.873895964,58.64782935,124
Richard Rodriguez,5.235615765,36,,0.334157893,3.758926478,3.78,,0.836615602,0.836615602,58.53867474,125
Trevor Rosenthal,1.664498659,13,,0.239572957,3.158883475,2.75,,0.930093193,0.930093193,58.48330749,126
Andres Munoz,5.823569071,28,170.8,0.349730478,3.87834067,3.38,170.8,0.818012683,0.818012683,58.38715808,127
Jonathan Hernandez,6.09995701,19,551.7,0.357050915,3.947425897,4.15,551.7,0.807250254,0.807250254,58.21505842,128
Lucas Luetge,8.622799603,20,,0.423871155,4.386255679,3.93,,0.738887236,0.738887235,58.13791954,129
Matthew Boyd,-0.504647048,3,442,0.182120765,2.834571243,2.33,442,0.980616115,0.980616115,58.136844,130
Nabil Crismatt,11.31321546,14,,0.495129757,4.846192529,4.7,,0.667236056,0.667236056,58.11829065,131
Ryan Thompson,9.406765928,36,,0.444635359,4.543098282,4.76,,0.714453539,0.714453539,57.95444491,132
Ron Marinaccio,3.188012874,7,712,0.279924895,3.485975864,3.1,712,0.879137164,0.879137164,57.95310293,133
Casey Sadler,2.374752105,21,,0.258384795,3.3581193,3.05,,0.899055276,0.899055276,57.87200354,134
Jose Ruiz,8.416703368,17,,0.418412471,4.393029817,5.01,,0.737831928,0.737831928,57.81221995,135
