Name,Model_Projection_Sum_of_HR_R_RBI_SB,Position,Proj_Position_Rank
Seth Brown,272.0201166,OF,59
Ramon Laureano,271.1980106,OF,60
Garrett Cooper,268.8245331,OF,61
Austin Meadows,267.4289709,OF,62
Harrison Bader,266.2805528,OF,63
Eddie Rosario,264.1187118,OF,64
Darin Ruf,263.366905,OF,65
Corey Dickerson,260.0039014,OF,66
Josh Naylor,257.8727002,OF,67
Lane Thomas,257.096854,OF,68
Harold Ramirez,252.4683791,OF,69
Austin Slater,250.7635377,OF,70
Tyrone Taylor,248.1943623,OF,71
Rafael Ortega,247.3105476,OF,72
Chas McCormick,244.8691192,OF,73
Kole Calhoun,244.3665388,OF,74
Julio Rodriguez,243.6436161,OF,75
Victor Robles,240.44938,OF,76
Aaron Hicks,239.6518604,OF,77
Kevin Kiermaier,235.8361388,OF,78
Akil Baddoo,230.8506013,OF,79
Nick Gordon,227.1865085,OF,80
Victor Reyes,226.1175469,OF,81
Yonathan Daza,225.453892,OF,82
Connor Joe,225.4362664,OF,83
Steven Kwan,223.185445,OF,84
Odubel Herrera,222.2485508,OF,85
Alex Dickerson,221.623296,OF,86
Kevin Pillar,220.8487825,OF,87
Bryan De La Cruz,220.3795971,OF,88
Brandon Marsh,220.3191716,OF,89
Gavin Sheets,220.0255496,OF,90
Jason Heyward,219.7078961,OF,91
Yadiel Hernandez,218.9690317,OF,92
Jesus Sanchez,215.1760303,OF,93
Jake Fraley,214.7441073,OF,94
Chad Pinder,214.6897759,OF,95
Trayce Thompson,214.0710421,OF,96
Lars Nootbaar,213.3574549,OF,97
Jordan Luplow,210.8071276,OF,98
Justin Upton,207.6161821,OF,99
Leody Taveras,201.8899972,OF,100
Sam Hilliard,200.6623744,OF,101
Seiya Suzuki,200.2763181,OF,102
Aristides Aquino,199.514713,OF,103
Orlando Arcia,197.1530298,OF,104
Adam Engel,196.9762533,OF,105
Oscar Gonzalez,196.819543,OF,106
Christopher Morel,196.4362706,OF,107
Brett Phillips,195.1378442,OF,108
Jackson Frazier,194.3709015,OF,109
Nick Senzel,192.9145327,OF,110
Guillermo Heredia,192.0883067,OF,111
Kyle Lewis,191.4013932,OF,112
Jake McCarthy,188.2468601,OF,113
Rob Refsnyder,185.0923066,OF,114
Trevor Larnach,184.9582246,OF,115
Edward Olivares,184.8655175,OF,116
Jo Adell,183.8553761,OF,117
Bradley Zimmer,183.7616326,OF,118
Jack Suwinski,182.2692523,OF,119
Jarred Kelenic,181.6088645,OF,120
Matt Vierling,179.6420515,OF,121
Jake Lamb,178.8206672,OF,122
Willie Calhoun,178.1940229,OF,123
Franchy Cordero,176.8325825,OF,124
Stephen Piscotty,175.1718263,OF,125
Lewis Brinson,174.7843207,OF,126
Lorenzo Cain,173.1701557,OF,127
Jake Cave,172.6424054,OF,128
Jake Marisnick,171.4548739,OF,129
Steven Duggar,171.3068834,OF,130
Riley Greene,171.0670856,OF,131
Kyle Isbel,170.6521973,OF,132
Nomar Mazara,170.132372,OF,133
Ehire Adrianza,169.7953461,OF,134
Oscar Mercado,169.0757849,OF,135
Sam Haggerty,165.1356315,OF,136
Luis Gonzalez,165.0463201,OF,137
Kyle Garlick,164.2827275,OF,138
Jose Siri,163.9586072,OF,139
Juan Lagares,162.4790873,OF,140
Taylor Trammell,160.5092252,OF,141
Brent Rooker,158.3785916,OF,142
Miguel Andujar,158.2362232,OF,143
Jake Meyers,155.5294197,OF,144
Billy McKinney,154.0310762,OF,145
Alek Thomas,152.9627151,OF,146
Ryan McKenna,151.9101826,OF,147
Jarren Duran,148.0620034,OF,148
Tim Locastro,146.7433429,OF,149
Eli White,145.5496352,OF,150
Gilberto Celestino,144.8626974,OF,151
Derek Hill,139.0410062,OF,152
Roman Quinn,137.1010188,OF,153
Magneuris Sierra,134.732147,OF,154
Cole Tucker,127.5947571,OF,155
Cristian Pache,112.7234557,OF,156
Trea Turner,491.0060258,SS,1
Dansby Swanson,442.1837503,SS,2
Xander Bogaerts,434.9995051,SS,3
Bo Bichette,426.764367,SS,4
Willy Adames,412.9052452,SS,5
Francisco Lindor,402.5289593,SS,6
Trevor Story,402.3845135,SS,7
Carlos Correa,401.212593,SS,8
Corey Seager,400.7532885,SS,9
Jorge Polanco,377.1691382,SS,10
Javier Baez,375.2363534,SS,11
Brandon Crawford,361.9296655,SS,12
Tim Anderson,359.2753646,SS,13
J.P. Crawford,350.2170277,SS,14
Gleyber Torres,348.6651471,SS,15
Amed Rosario,346.602137,SS,16
Isiah Kiner-Falefa,335.3801407,SS,17
Elvis Andrus,314.7638715,SS,18
Kyle Farmer,313.5215013,SS,19
Jose Iglesias,310.6038904,SS,20
Andres Gimenez,306.7945453,SS,21
Miguel Rojas,298.9098439,SS,22
Nicky Lopez,295.3519651,SS,23
Jorge Mateo,261.3091984,SS,24
Didi Gregorius,259.1331671,SS,25
Wander Franco,258.8030038,SS,26
Kevin Newman,251.2334697,SS,27
Paul DeJong,248.3710591,SS,28
Nick Ahmed,236.047764,SS,29
Luis Rengifo,231.2640621,SS,30
Jeremy Pena,229.5801222,SS,31
Oneil Cruz,217.4329641,SS,32
Edmundo Sosa,215.3213142,SS,33
Niko Goodrum,206.0036917,SS,34
Taylor Walls,202.8039457,SS,35
Sergio Alcantara,193.618781,SS,36
Bryson Stott,189.2419942,SS,37
Alcides Escobar,184.7193972,SS,38
Andrew Velazquez,173.229767,SS,39
Diego Castillo,167.0985122,SS,40
Geraldo Perdomo,165.6305653,SS,41
Andrelton Simmons,162.0833664,SS,42
CJ Abrams,144.4124396,SS,43
Nick Allen,129.9937864,SS,44
Jose Barrero,114.3057835,SS,45
