Name,Position,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP,Position_Model_Proj_Scaled,Modej_Proj_Scaled,Position_Actuals_Scaled,Actuals_Scaled,OVR_Scaled_Score,Position_Batter_Ranking,Overall_Batter_Ranking
Marcell Ozuna,OF,282.2982344,303,280.8,0.536037082,0.448973272,0.435763889,0.419512195,0.043995793,54,144
Luis Arraez,2B,278.5054781,282,181.6,0.562270337,0.440718978,0.448015123,0.385365854,0.042783157,20,145
Alec Bohm,3B,292.8026074,322,177,0.450898583,0.471834266,0.444078947,0.450406504,0.042553294,23,146
Andrew Benintendi,OF,291.5751744,285,208.6,0.568649177,0.469162965,0.404513889,0.390243902,0.042115087,43,147
Raimel Tapia,OF,269.3171831,311,664.8,0.490403578,0.420722206,0.449652778,0.432520325,0.040126647,61,148
Avisail Garcia,OF,269.4855688,307,306.6,0.49099552,0.421088669,0.442708333,0.42601626,0.038993746,60,149
Miguel Rojas,SS,289.6873166,270,432.2,0.53982255,0.465054362,0.403571429,0.365853659,0.037066584,24,150
Yasmani Grandal,C,239,255,298.5,0.632763975,0.354741976,0.483253589,0.341463415,0.037040223,9,151
Albert Pujols,1B,320.675146,279,,0.453005574,0.53249414,0.403225806,0.380487805,0.037009008,23,152
Tyler Naquin,OF,273.4845648,293,838.5,0.505053565,0.429791808,0.418402778,0.403252033,0.036624078,58,153
Tony Kemp,2B,286.0542693,254,376.3,0.591035796,0.457147648,0.395085066,0.339837398,0.036277058,18,154
Myles Straw,OF,257.7134805,315,357.4,0.449611997,0.395468706,0.456597222,0.43902439,0.035642809,73,155
Miguel Cabrera,1B,308.6060112,286,708,0.41397196,0.506227706,0.415770609,0.391869919,0.034143855,25,156
Nicky Lopez,SS,290.1818052,258,559,0.543557511,0.466130532,0.382142857,0.346341463,0.03353384,23,157
Seth Brown,OF,274.1752249,279,228.6,0.507481507,0.431294913,0.394097222,0.380487805,0.032820007,57,158
Taylor Ward,OF,283.9036636,264,112,0.541680797,0.452467217,0.368055556,0.356097561,0.032122766,52,159
Eloy Jimenez,OF,285.3553412,261,68.1,0.546784016,0.455626549,0.362847222,0.351219512,0.031748797,51,160
Dylan Moore,2B,259.8790054,273,507.5,0.491292214,0.400181606,0.43100189,0.370731707,0.031414917,25,161
Hunter Dozier,3B,287.7376732,289,461.7,0.436889369,0.460811292,0.389802632,0.396747967,0.031135373,25,162
Andrew Vaughn,OF,271.4093341,273,134.4,0.497758312,0.425275419,0.383680556,0.370731707,0.030110525,59,163
Eddie Rosario,OF,265.007909,277,365.3,0.475254784,0.411343798,0.390625,0.377235772,0.028807419,65,164
Austin Meadows,OF,267.0023525,274,253.1,0.482266037,0.415684368,0.385416667,0.372357724,0.028770091,63,165
Manuel Margot,OF,266.2921195,272,269.7,0.479769289,0.414138666,0.381944444,0.369105691,0.028011035,64,166
Travis d'Arnaud,C,214.6,256,275.1,0.538043478,0.301639496,0.485645933,0.343089431,0.027041618,16,167
Bobby Dalbec,1B,288.8173054,286,669.8,0.349971953,0.463160929,0.415770609,0.391869919,0.026409542,30,168
Rougned Odor,2B,247.6611157,272,908.3,0.444734667,0.373591432,0.429111531,0.369105691,0.026315936,28,169
Brendan Rodgers,2B,251.2582089,266,341.4,0.458441767,0.381419898,0.417769376,0.359349593,0.026250724,26,170
Michael Brantley,OF,288.7767046,237,322.5,0.558811454,0.463072568,0.321180556,0.312195122,0.025947153,45,171
Gavin Lux,2B,263.5047967,247,,0.505108671,0.408072528,0.381852552,0.328455285,0.025851999,23,172
Ramon Laureano,OF,256.5059633,275,218.3,0.445367099,0.392840749,0.387152778,0.37398374,0.025332016,77,173
Joey Wendle,3B,281.4047675,273,367.6,0.419373044,0.447028792,0.363486842,0.370731707,0.025262972,27,174
Darin Ruf,OF,274.4805698,247,870,0.508554914,0.431959445,0.338541667,0.328455285,0.024426948,56,175
Evan Longoria,3B,291.5740517,253,488.4,0.447500493,0.469160522,0.330592105,0.338211382,0.023474464,24,176
Didi Gregorius,SS,274.4402441,230,,0.536660351,0.431871683,0.332142857,0.300813008,0.023156652,25,177
Harrison Bader,OF,264.2166188,249,219.2,0.472473087,0.409621689,0.342013889,0.331707317,0.021956283,66,178
Josh Harrison,2B,247.2658943,250,754.6,0.443228634,0.372731299,0.387523629,0.333333333,0.021340304,29,179
Ke'Bryan Hayes,3B,276.4727538,259,176.6,0.405731478,0.436295097,0.340460526,0.34796748,0.020971257,28,180
Martin Maldonado,C,209.2,238,556,0.517080745,0.289887308,0.442583732,0.313821138,0.020819256,18,181
Austin Slater,OF,262.3152187,238,708.5,0.465788918,0.405483613,0.322916667,0.313821138,0.019139699,71,182
Daniel Vogelbach,1B,309.76061,225,593,0.417706127,0.508740495,0.306451613,0.292682927,0.019060156,24,183
Ji-Man Choi,1B,307.6284718,226,,0.410810433,0.504100256,0.308243728,0.294308943,0.018786942,26,184
Thairo Estrada,2B,250.3487162,230,181.7,0.45497605,0.379440541,0.349716446,0.300813008,0.018161216,27,185
Wander Franco,SS,297.7737939,194,82,0.578864459,0.482653214,0.267857143,0.242276423,0.018131197,22,186
Brad Miller,1B,291.3421632,242,774,0.358137769,0.468655856,0.336917563,0.320325203,0.018114191,29,187
Garrett Hampson,2B,245.9366949,235,789.5,0.43816358,0.369838521,0.359168242,0.308943089,0.017981455,31,188
Josh Naylor,OF,264.053005,230,204.9,0.471897921,0.409265611,0.309027778,0.300813008,0.017953431,67,189
Brandon Drury,3B,285.6325141,233,220.2,0.431066662,0.456229769,0.297697368,0.305691057,0.017897229,26,190
Mike Zunino,C,220,209,435.9,0.559006211,0.313391684,0.373205742,0.266666667,0.017434968,12,191
Jorge Mateo,SS,268.8638874,215,273.3,0.492045871,0.419735684,0.305357143,0.276422764,0.017432648,26,192
